|V|,time(s)
2,1.12E-05
2,1.11E-05
2,1.16E-05
2,1.11E-05
2,1.13E-05
3,2.37E-05
3,2.39E-05
3,2.39E-05
3,6.86E-05
3,2.39E-05
4,6.43E-05
4,6.60E-05
4,6.51E-05
4,6.35E-05
4,6.85E-05
5,0.000363083
5,0.000366666
5,0.000385208
5,0.000423167
5,0.000363666
6,0.002362083
6,0.0023665
6,0.002412625
6,0.00237775
6,0.002375375
7,0.018847583
7,0.018910667
7,0.018786958
7,0.018776042
7,0.018933959
8,0.168533208
8,0.168274417
8,0.168059083
8,0.168478917
8,0.168994291
9,1.668061791
9,1.668591416
9,1.673122708
9,1.673296375
9,1.675075667
10,18.50557588
10,18.51901317
10,18.52735496
10,18.53694204
10,18.58270621
11,229.3263633
11,229.3458401
11,229.5204718
11,229.7266274
11,229.7998335
12,2774.931127
12,2778.749813
12,2782.77482
12,2783.532977
12,2786.312227
